Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
Ana Teqani,أنا تقني,أنا تقني,إلكترونيات,,False,4596,4.85,39976,0,1,1
tyb aleawd alfakhir,طيب العود الفاخر ,طيب العود الفاخر ,خدمات الأعمال,,False,107,4.85,64875,0,1,1
ZYROS, زايروس, زايروس,خدمات الأعمال,,False,94,4.85,30219,0,1,1
Marym store,متجر مريم  1,متجر مريم  1,خدمات الأعمال,,False,78,4.85,293270,0,1,1
jodi store,متجر الجودي ببجي ,متجر الجودي ببجي ,خدمات الأعمال,,False,52,4.85,152273,0,1,2
Honey Dose,عسل هني دوز,عسل هني دوز,أخرى,,False,52,4.85,30443,0,1,1
  Elegant shopping,سارة ناصر,سارة ناصر,خدمات الأعمال,,False,79,4.84,127158,0,1,1
Tulips Shop ,توليب شوب100,توليب شوب100,خدمات الأعمال,,False,57,4.84,60926,0,1,2
Watad,وتد,وتد,خدمات الأعمال,,False,375,4.83,90277,0,1,1
um thamer,قروبات  ام ثامر الغذائيه,قروبات  ام ثامر الغذائيه,أخرى,,False,275,4.83,54686,0,1,1
Reefi,ريفي,ريفي,أخرى,,False,194,4.83,54713,0,1,1
BARQ Store ,متجر برق ستور,متجر برق ستور,خدمات الأعمال,,False,65,4.83,178330,0,1,2
,مركزلمسة رنيم للتزيين النسائي,مركزلمسة رنيم للتزيين النسائي,الجمال والصحة,,False,676,4.82,24974,0,1,1
Saffron Threads, خيوط الزعفران, خيوط الزعفران,أطعمة ومشروبات,,False,249,4.82,39658,0,1,1
Fzah Abaya,عبايات فزة ,عبايات فزة ,الجمال والصحة,,False,287,4.81,242704,0,1,1
Ismael Alyahya for Oud and Saffron,اسماعيل اليحيى للعود والزعفران والعطور,اسماعيل اليحيى للعود والزعفران والعطور,خدمات الأعمال,,False,213,4.81,15853,0,1,1
YoourGift,يور قفت,يور قفت,خدمات الأعمال,,False,167,4.8,96396,0,1,1
Services iCloud,خدمات ايكلاود ,خدمات ايكلاود ,إلكترونيات,,False,86,4.8,69774,0,1,2
Dream caravan,دريم كرفان لتأجير لوازم الرحلات,دريم كرفان لتأجير لوازم الرحلات,حفلات,,False,55,4.8,20554,0,1,1
nuadir albukhur,نوادر البخور,نوادر البخور,أخرى,,False,51,4.8,57020,0,1,1
Candles Group,مجموعة كاندلز,مجموعة كاندلز,حفلات,,False,808,4.79,2897,0,1,1
Dukan Phone,دكان فون,دكان فون,إلكترونيات,,False,76,4.79,20692,0,1,1
beautyinloveshop,متجر بيوتي ان لوف ,متجر بيوتي ان لوف ,الجمال والصحة,,False,58,4.78,15163,0,1,1
Tahdiri,تحضيري,تحضيري,خدمات الأعمال,,False,50,4.78,254977,0,1,1
c5r,صخر,صخر,خدمات الأعمال,,False,169,4.77,263542,0,1,2
TekAdj,تك تقني ,تك تقني ,إلكترونيات,,False,52,4.77,261723,0,1,1
MANDY STATION,مندي ستيشن,مندي ستيشن,أطعمة ومشروبات,,False,444,4.76,7855,0,1,1
Express shopper,وسيط مواقع 0542238187,وسيط مواقع 0542238187,خدمات الأعمال,,False,78,4.76,51397,0,1,2
Arjaa Advertising Agency ,وكالة أرجاء للدعاية والإعلان,وكالة أرجاء للدعاية والإعلان,خدمات الأعمال,,False,54,4.76,108070,0,1,1
Push Store,متجر أبو السعود الإلكتروني,متجر أبو السعود الإلكتروني,خدمات الأعمال,,False,206,4.75,93932,0,1,1
Qualitat Honey,عسل كوالتيت,عسل كوالتيت,خدمات الأعمال,,False,83,4.75,707,0,1,1
TH ABAYA,تي اتش للعبايات,تي اتش للعبايات,أخرى,أزياء,False,69,4.75,301325,0,1,1
T5ear store,تخير,تخير,خدمات الأعمال,,False,150,4.73,208,0,1,1
Digital Cards World Trading Est,مؤسسة عالم البطاقات الرقمي للتجارة,مؤسسة عالم البطاقات الرقمي للتجارة,خدمات الأعمال,,False,72,4.72,134176,0,1,1
iStore,آي ستور,آي ستور,خدمات الأعمال,,False,60,4.72,1008,0,1,1
Johrh,جوهرة,جوهرة,الجمال والصحة,,False,408,4.71,42825,0,1,1
michel store,متجر مايكل بلس,متجر مايكل بلس,خدمات الأعمال,,False,195,4.7,249763,0,1,2
JOY Personal Shopper,وسيطة تسوق جوي,وسيطة تسوق جوي,خدمات الأعمال,,False,125,4.7,49233,0,1,1
Shop to go,شوب تو قو,شوب تو قو,خدمات الأعمال,,False,53,4.7,94854,0,1,2
skb abaya,سخب للعبايات,سخب للعبايات,أخرى,ازياء,False,67,4.67,321044,0,1,1
Talal Design,طلال ديزاين,طلال ديزاين,خدمات الأعمال,,False,58,4.67,142135,0,1,2
SuperCard Store ,متجر سوبر كارد,متجر سوبر كارد,خدمات الأعمال,,False,94,4.65,175447,0,1,2
Alarrab,متجر العراب,متجر العراب,أخرى,,False,84,4.65,38522,0,1,1
Boutique Fiminity,بوتيك فيمينتي ,بوتيك فيمينتي ,خدمات الأعمال,,False,68,4.65,42808,0,1,2
Nano eShop,متجر نانو,متجر نانو,خدمات الأعمال,,False,389,4.64,669,0,1,1
SPAMA,سباما,سباما,أخرى,,False,169,4.64,86755,0,1,1
AB HOLDING LTD,ابجد هوز لخدمات الدعاية والاعلان,ابجد هوز لخدمات الدعاية والاعلان,خدمات الأعمال,,False,64,4.63,178017,0,1,1
Brand Reham,براند رهام,براند رهام,خدمات الأعمال,,False,57,4.61,78235,0,1,2
Nice One,نايس ون,نايس ون,خدمات الأعمال,,False,1553,4.6,24519,0,1,1
mjratpc,مجرات الكمبيوتر,مجرات الكمبيوتر,إلكترونيات,,False,87,4.59,159984,0,1,1
Faiza Hassan Mansour Alamoudi Commercial Est,مؤسسة فايزه حسن منصور العمودي,مؤسسة فايزه حسن منصور العمودي,أخرى,,False,63,4.59,150917,0,1,1
Establishment Imtinan 'Abayah Commercial,مؤسسة دار امتنان ,مؤسسة دار امتنان ,الجمال والصحة,,False,235,4.58,205289,0,1,1
AYNMA,أينما ,أينما ,خدمات الأعمال,,False,91,4.57,50986,0,1,1
Kittens Zone,كتن زون,كتن زون,خدمات الأعمال,,False,75,4.57,135898,0,1,1
Urjwan Shop,متجر  أرجـوان,متجر  أرجـوان,خدمات الأعمال,,False,61,4.57,247465,0,1,1
HassonTV,متجر حسون الرقمي,متجر حسون الرقمي,إلكترونيات,اشتراكات واجهزة الكترونية,False,312,4.56,287679,0,1,2
Hamtaro STORE,متجر همتارو الإلكتروني,متجر همتارو الإلكتروني,خدمات الأعمال,,False,60,4.52,231548,0,1,2
Fkhamat aldog,عطور سعد الشمري ,عطور سعد الشمري ,أخرى,,False,80,3.54,129221,0,1,1
Soum Platform Trading Company,شركة منصة سوم للتجارة,شركة منصة سوم للتجارة,خدمات الأعمال,,False,83,3.19,221919,0,1,1
NATALYA,ناتاليا,ناتاليا,الجمال والصحة,,False,57,3.04,8473,0,1,2
ArganPackage,ارجان باكيج,ارجان باكيج,خدمات الأعمال,,False,206,4.5,40924,0,1,1
Alawlen Tea ,شاي الأولين ,شاي الأولين ,أخرى,,False,114,4.5,117315,0,1,1
Lordstr,متجر اللورد ,متجر اللورد ,أخرى,,False,325,4.42,235951,0,1,2
kumra,خمرة للعبايات,خمرة للعبايات,الجمال والصحة,,False,60,4.42,250262,0,1,1
Serdab Abaya,عبايات سرداب,عبايات سرداب,الجمال والصحة,,False,507,4.4,214933,0,1,1
LuxuryAvenue,لكجرى افينيو,لكجرى افينيو,أخرى,,False,55,4.33,1739,0,1,1
alriyf alnajdiu,الريف النجدي ,الريف النجدي ,أخرى,,False,132,4.23,190162,0,1,1
Mulhemah abayat,عباءات ملهمة ,عباءات ملهمة ,الجمال والصحة,,False,57,4.23,264831,0,1,1
Vanusfashion,فانوس فاشون,فانوس فاشون,الجمال والصحة,,False,74,4.22,218456,0,1,1
ALFHDI STORE,متجر الفهدي,متجر الفهدي,خدمات الأعمال,,False,195,4.2,149682,0,1,2
powerstore,متجر باور ستور,متجر باور ستور,إلكترونيات,,False,95,4.14,12375,0,1,1
moments for fragrance,لحظات للعطور الاصلية ,لحظات للعطور الاصلية ,أخرى,,False,54,3.98,132830,0,1,1
abadystore,متجر عبادي الخليج,متجر عبادي الخليج,خدمات الأعمال,,False,52,3.67,78826,0,1,1
Furniture and entertainment and computer games,الاثاث والترفيه والعاب الكمبيوتر ,الاثاث والترفيه والعاب الكمبيوتر ,خدمات الأعمال,,False,375,4.99,235942,0,1,1
Tahani shopper,تهاني شوبر ,تهاني شوبر ,خدمات الأعمال,,False,159,4.99,156278,0,1,2
Natsu Shop,ناتسو,ناتسو,خدمات الأعمال,,False,136,4.99,47596,0,1,2
the premiumdates,متجر نخبة التمور,متجر نخبة التمور,أخرى,,False,135,4.99,145217,0,1,1
Albatool M Algarni establishment for TRADe,مؤسسةالبتول محمد القرني للتجارة والتسويق,مؤسسةالبتول محمد القرني للتجارة والتسويق,خدمات الأعمال,وساطة,False,117,4.99,78433,0,1,1
Lobo,متحر لوبو,متحر لوبو,إلكترونيات,,False,110,4.99,91668,0,1,1
UMC Store,يو ام سي للخدمات الالكترونية,يو ام سي للخدمات الالكترونية,خدمات الأعمال,,False,100,4.99,259534,0,1,2
vip pro market,المتجر الاحترافي,المتجر الاحترافي,إلكترونيات,,False,83,4.99,305986,0,1,1
Abaya Trading Est,مؤسسة عباية التجارية,مؤسسة عباية التجارية,الجمال والصحة,,False,80,4.99,133016,0,1,1
Simple Shop1,سمبل شوب,سمبل شوب,خدمات الأعمال,,False,75,4.99,40314,0,1,1
Osos Education,أسس الخبراء التعليمية,أسس الخبراء التعليمية,التعليم,,False,67,4.99,1854,0,1,1
Mernar Store,متجر ميرنار ,متجر ميرنار ,خدمات الأعمال,,False,1167,4.98,15908,0,1,2
safa Online shopping,صفاء وسيطة تسوق,صفاء وسيطة تسوق,خدمات الأعمال,,False,279,4.98,55142,0,1,2
Electronic services and designs,خدمات الكترونيه وتصاميم,خدمات الكترونيه وتصاميم,أخرى,,False,257,4.98,200629,0,1,1
Shopperbrands,متسوق شخصي لماركات عالمية,متسوق شخصي لماركات عالمية,خدمات الأعمال,,False,200,4.98,120765,0,1,1
rand shop4,رسائل خالدة,رسائل خالدة,حفلات,,False,140,4.98,107642,0,1,2
Aq0xa store,متجر اكوكسا ,متجر اكوكسا ,أخرى,,False,127,4.98,193003,0,1,2
LAS MORE Roastery,لاس مور,لاس مور,خدمات الأعمال,,False,106,4.98,210994,0,1,1
TURIQ ALNAJM,طرق النجم,طرق النجم,خدمات الأعمال,,False,103,4.98,213663,0,1,1
Sara store7,سارة ستور 7,سارة ستور 7,الجمال والصحة,,False,103,4.98,143832,0,1,2
Designing and selling websites and computer progra,تصميم و بيع مواقع الانترنت و برامج الحاسب الالي,تصميم و بيع مواقع الانترنت و برامج الحاسب الالي,خدمات الأعمال,,False,102,4.98,226101,0,1,2
MCM Consultancy ,مكتب أم سي أم للاستشارات الإدارية,مكتب أم سي أم للاستشارات الإدارية,خدمات الأعمال,,False,102,4.98,175551,0,1,2
shopping and delivery ,تسوق وتوصيل,تسوق وتوصيل,أخرى,تسوق وتوصيل,False,94,4.98,141006,0,1,2
Amon shop,وسيطة مواقع و اوتلت امون شوب ,وسيطة مواقع و اوتلت امون شوب ,خدمات الأعمال,,False,61,4.98,113809,0,1,2
crimson store,وسيطة تسوق قرمزي,وسيطة تسوق قرمزي,الجمال والصحة,,False,58,4.98,159675,0,1,2
Geem Store,متجر جيم,متجر جيم,خدمات الأعمال,,False,54,4.98,73687,0,1,1
,كشف ستور,كشف ستور,خدمات الأعمال,,False,53,4.98,79508,0,1,1
Hala cart for digital cards,متجر حلا كارت للبطاقات ,متجر حلا كارت للبطاقات ,خدمات الأعمال,,False,1813,4.97,48246,0,1,1
KOORAPLANET, متجر كورة بلانت, متجر كورة بلانت,إلكترونيات,,False,1186,4.97,216993,0,1,1
Albylasan us shop,البيلسان يو اس شوب ,البيلسان يو اس شوب ,الجمال والصحة,,False,585,4.97,86675,0,1,1
ALMOTARJIM AL HADITH PHOTOCOPYING EST,المترجم الحديث  ترجمه طباعه تصوير خدمات الكترونية,المترجم الحديث  ترجمه طباعه تصوير خدمات الكترونية,خدمات الأعمال,,False,388,4.97,212567,0,1,1
Retail sale of motorcycles and spare parts,البيع بالجملة والتجزئة للدراجات النارية وقطع غياره,البيع بالجملة والتجزئة للدراجات النارية وقطع غياره,السيارات,,False,377,4.97,235945,0,1,1
glamourbeauty,جلامور بيوتي,جلامور بيوتي,خدمات الأعمال,,False,371,4.97,1491,0,1,1
Code Pro,كود برو,كود برو,خدمات الأعمال,,False,308,4.97,117172,0,1,1
Sara tray,ساره تراي,ساره تراي,المنزل,,False,299,4.97,3114,0,1,2
 Shop with MUN,تسوق مع مون,تسوق مع مون,خدمات الأعمال,وسيطة الكترونية,False,153,4.97,63165,0,1,2
Us outlet10,يو اس اوتلت ١٠,يو اس اوتلت ١٠,الجمال والصحة,,False,130,4.97,62596,0,1,1
Sahelha Office for General Services,مكتب سهلها للخدمات العامة,مكتب سهلها للخدمات العامة,خدمات الأعمال,,False,126,4.97,191467,0,1,1
MediForms,مدفورمز,مدفورمز,الجمال والصحة,,False,126,4.97,11742,0,1,1
ibtesam inspiration ,ابتسام انسبايريشن ,ابتسام انسبايريشن ,خدمات الأعمال,,False,115,4.97,57099,0,1,2
bena2 for feasibility studies,بناء لدراسات الجدوى الاقتصادية,بناء لدراسات الجدوى الاقتصادية,أخرى,خدمات دراسات الجدوي والاستشارات الاقتصادية,False,114,4.97,53608,0,1,1
MAATHER SHOPPER ,المتسوقة مآثر,المتسوقة مآثر,هدايا,,False,105,4.97,168551,0,1,2
Mauimore,ماوي مور ,ماوي مور ,الجمال والصحة,,False,72,4.97,117782,0,1,2
Ladybags1,ليدي باقز,ليدي باقز,الجمال والصحة,,False,71,4.97,51157,0,1,1
boutique opal,بوتيك أوبال,بوتيك أوبال,الجمال والصحة,,False,70,4.97,51333,0,1,1
Tmiiz22,تميز للارقام المميزة,تميز للارقام المميزة,أخرى,,False,65,4.97,148938,0,1,2
4sellshop,متجر فورسيل,متجر فورسيل,إلكترونيات,,False,63,4.97,21068,0,1,1
Deseert,ديزرت,ديزرت,أطعمة ومشروبات,,False,59,4.97,19811,0,1,1
O N Store ,متجر او ان ,متجر او ان ,خدمات الأعمال,,False,1204,4.96,257509,0,1,2
Store Bader,بدر لبيع الأرقام المميزة,بدر لبيع الأرقام المميزة,إلكترونيات,,False,368,4.96,27327,0,1,2
Adorableshoppers,أدوربل تسوق,أدوربل تسوق,أخرى,,False,167,4.96,84757,0,1,1
TWINGS,اغصان,اغصان,خدمات الأعمال,,False,153,4.96,116999,0,1,2
kady 3080,كادي ستور,كادي ستور,خدمات الأعمال,,False,132,4.96,65665,0,1,1
Hj store ,متجر حسين الإلكتروني ,متجر حسين الإلكتروني ,خدمات الأعمال,,False,108,4.96,209761,0,1,1
enjazthiqa,إنجاز ثقه للخدمات العامه,إنجاز ثقه للخدمات العامه,خدمات الأعمال,,False,107,4.96,257842,0,1,1
Mashrueuk Platform,منصة مشروعك,منصة مشروعك,خدمات الأعمال,,False,101,4.96,244044,0,1,1
AwalTec,التقنيات الأولى,التقنيات الأولى,خدمات الأعمال,,False,101,4.96,198179,0,1,2
Designed themes and stickers,مصممة ثيمات واستكرات,مصممة ثيمات واستكرات,خدمات الأعمال,,False,99,4.96,110838,0,1,2
Nove shopping medium,اويا اونلاين ,اويا اونلاين ,خدمات الأعمال,,False,67,4.96,115353,0,1,2
,متجر أرقام مميزة,متجر أرقام مميزة,خدمات الأعمال,,False,57,4.96,179067,0,1,1
flam rare,مؤسسة الشعلة النادرة التجارية,مؤسسة الشعلة النادرة التجارية,أخرى,,False,55,4.96,88089,0,1,1
DAIEM STORE,متجر داعم1,متجر داعم1,خدمات الأعمال,,False,52,4.96,277496,0,1,2
Hekayt noon,حكاية نون,حكاية نون,خدمات الأعمال,,False,51,4.96,12218,0,1,1
FitNeeds,احتياجات اللياقة,احتياجات اللياقة,إلكترونيات,,False,50,4.96,27286,0,1,1
Tuliip Store,متجر تولييب,متجر تولييب,خدمات الأعمال,,False,656,4.95,44461,0,1,2
